track_id,track_name,artist_name,year,popularity,artwork_url,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_url,language
2r0ROhr7pRN4MXDMT1fEmd,"Leo Das Entry (From ""Leo"")",Anirudh Ravichander,2024,59,https://i.scdn.co/image/ab67616d0000b273ce9c65e63d5469894b95b4ba,"Leo Das Entry (From ""Leo"")",0.0241,0.753,97297.0,0.97,0.0553,8.0,0.1,-5.994,0.0,0.103,110.997,4.0,0.459,https://open.spotify.com/track/2r0ROhr7pRN4MXDMT1fEmd,Tamil
4I38e6Dg52a2o2a8i5Q5PW,AAO KILLELLE,"Anirudh Ravichander, Pravin Mani, Vaishali Sriprathap",2024,47,https://i.scdn.co/image/ab67616d0000b273be1b03cd5da48a28250ed53c,AAO KILLELLE,0.0851,0.78,207369.0,0.793,0.0,10.0,0.0951,-5.674,0.0,0.0952,164.995,3.0,0.821,https://open.spotify.com/track/4I38e6Dg52a2o2a8i5Q5PW,Tamil
59NoiRhnom3lTeRFaBzOev,Mayakiriye Sirikiriye - Orchestral EDM,"Anirudh Ravichander, Anivee, Alvin Bruno",2024,35,https://i.scdn.co/image/ab67616d0000b27334a1dd380f58638b8a5c93db,Mayakiriye Sirikiriye (Orchestral EDM),0.0311,0.457,82551.0,0.491,0.0,2.0,0.0831,-8.937,0.0,0.153,169.996,4.0,0.598,https://open.spotify.com/track/59NoiRhnom3lTeRFaBzOev,Tamil
5uUqRQd385pvLxC8JX3tXn,Scene Ah Scene Ah - Experimental EDM Mix,"Anirudh Ravichander, Bharath Sankar, Kabilan, CM Lokesh, Stan & Sam",2024,24,https://i.scdn.co/image/ab67616d0000b27332e6238ca6d1a329eaa663de,Scene Ah Scene Ah (Experimental EDM Mix),0.227,0.718,115831.0,0.63,0.000727,7.0,0.124,-11.104,1.0,0.445,169.996,4.0,0.362,https://open.spotify.com/track/5uUqRQd385pvLxC8JX3tXn,Tamil
1KaBRg2xgNeCljmyxBH1mo,Gundellonaa X I Am A Disco Dancer - Mashup,"Anirudh Ravichander, Benny Dayal, Leon James, Bappi Lahiri, Yashraj Kapil, Kasarla Shyam, Anjaan, Harish Hwarkling",2024,22,https://i.scdn.co/image/ab67616d0000b2735a59b65a63d4daef26ab839e,Gundellonaa X I Am a Disco Dancer (Mashup),0.0153,0.689,129621.0,0.748,1.35e-06,7.0,0.345,-9.637,1.0,0.158,128.961,4.0,0.593,https://open.spotify.com/track/1KaBRg2xgNeCljmyxBH1mo,Tamil
1vpppvz6ihHvKFIaUBy2zf,"Villain Yevadu Ra (From ""Leo (Telugu)"")","Anirudh Ravichander, Manisha Eerabathini, Sampath GK",2024,26,https://i.scdn.co/image/ab67616d0000b27377144f64e42d92452ea5c1f6,"Villain Yevadu Ra [From ""Leo (Telugu)""]",0.199,0.699,185802.0,0.789,0.0353,7.0,0.215,-8.139,0.0,0.0395,106.048,4.0,0.411,https://open.spotify.com/track/1vpppvz6ihHvKFIaUBy2zf,Telugu
6FSIepMOKFf9p4KVQ24676,Gundellonaa - Pop Kuthu,"Anirudh Ravichander, Leon James, Kasarla Shyam, Stan & Sam",2024,18,https://i.scdn.co/image/ab67616d0000b2736a5734691036c1a05a1d9f77,Gundellonaa (Pop Kuthu),0.085,0.559,74579.0,0.467,1.35e-05,9.0,0.178,-9.585,0.0,0.0802,132.038,4.0,0.518,https://open.spotify.com/track/6FSIepMOKFf9p4KVQ24676,Tamil
63tA4cYTJATGSqTE0O8Vp4,Knockout Song - Funk Mix,"Anirudh Ravichander, Madley Blues, Vignesh Shivan, Stan & Sam",2024,18,https://i.scdn.co/image/ab67616d0000b2732d6b5772773997385ae89e81,Knockout Song (Funk Mix),0.119,0.801,87089.0,0.504,0.0,4.0,0.132,-5.771,0.0,0.259,119.971,4.0,0.821,https://open.spotify.com/track/63tA4cYTJATGSqTE0O8Vp4,English
3OSveGXWccyTLleBeJ2OKq,Rathamaarey (LoFi Version),"Anirudh Ravichander, Vishal Mishra, Vignesh Shivan, KS Abhishek",2024,34,https://i.scdn.co/image/ab67616d0000b27368528a7f1109452295bc987f,Rathamaarey (LoFi Version),0.362,0.5,262785.0,0.486,0.37,4.0,0.299,-9.402,1.0,0.0444,158.191,4.0,0.119,https://open.spotify.com/track/3OSveGXWccyTLleBeJ2OKq,Tamil
0FEViAIJ0oQuLXTHMAGdEK,Theeraamal - Ambient Mix,"Anirudh Ravichander, Ramjeevan, Karthik Netha, Stan & Sam",2024,17,https://i.scdn.co/image/ab67616d0000b273d89c56bb88ad8ea25a1cdc2d,Theeraamal (Ambient Mix),0.646,0.619,91746.0,0.518,0.0196,1.0,0.114,-9.901,1.0,0.0428,126.101,4.0,0.136,https://open.spotify.com/track/0FEViAIJ0oQuLXTHMAGdEK,Tamil
